,step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest,isFraud,isFlaggedFraud
2,1,TRANSFER,181.0,C1305486145,181.0,0.0,C553264065,0.0,0.0,1,0
251,1,TRANSFER,2806.0,C1420196421,2806.0,0.0,C972765878,0.0,0.0,1,0
680,1,TRANSFER,20128.0,C137533655,20128.0,0.0,C1848415041,0.0,0.0,1,0
969,1,TRANSFER,1277212.77,C1334405552,1277212.77,0.0,C431687661,0.0,0.0,1,0
1115,1,TRANSFER,35063.63,C1364127192,35063.63,0.0,C1136419747,0.0,0.0,1,0
1869,1,TRANSFER,25071.46,C669700766,25071.46,0.0,C1384210339,0.0,0.0,1,0
2301,1,TRANSFER,235238.66,C1872047468,235238.66,0.0,C116289363,0.0,0.0,1,0
3059,2,TRANSFER,1096187.24,C1093223281,1096187.24,0.0,C2063275841,0.0,0.0,1,0
3162,2,TRANSFER,963532.14,C1440057381,963532.14,0.0,C268086000,0.0,0.0,1,0
3271,2,TRANSFER,14949.84,C140702728,14949.84,0.0,C634210724,0.0,0.0,1,0
3683,2,TRANSFER,18627.02,C1375503918,18627.02,0.0,C234430897,0.0,0.0,1,0
4103,3,TRANSFER,10539.37,C1134864869,10539.37,0.0,C118648358,0.0,0.0,1,0
4260,3,TRANSFER,22877.0,C1247938090,22877.0,0.0,C1002031672,0.0,0.0,1,0
4440,4,TRANSFER,10000000.0,C7162498,12930418.44,2930418.44,C945327594,0.0,0.0,1,0
4442,4,TRANSFER,2930418.44,C2047521920,2930418.44,0.0,C449261773,0.0,0.0,1,0
4667,4,TRANSFER,169941.73,C540962910,169941.73,0.0,C2127862399,0.0,0.0,1,0
4693,4,TRANSFER,13707.11,C17222024,13707.11,0.0,C410033330,0.0,0.0,1,0
4775,4,TRANSFER,86070.17,C1844941220,86070.17,0.0,C1191544932,0.0,0.0,1,0
4857,5,TRANSFER,120074.73,C1409933277,120074.73,0.0,C162114152,0.0,0.0,1,0
5123,5,TRANSFER,60726.57,C383882703,60726.57,0.0,C1807010830,0.0,0.0,1,0
5466,5,TRANSFER,10119.47,C1775746074,10119.47,0.0,C746009679,0.0,0.0,1,0
5558,6,TRANSFER,33332.86,C2025652936,33332.86,0.0,C1662235713,0.0,0.0,1,0
5746,6,TRANSFER,25975.86,C864622150,25975.86,0.0,C41792607,0.0,0.0,1,0
5852,6,TRANSFER,26768.5,C457596841,26768.5,0.0,C1956477953,0.0,0.0,1,0
5994,6,TRANSFER,30521.02,C903383636,30521.02,0.0,C904300960,0.0,0.0,1,0
6583,6,TRANSFER,216422.0,C666642000,216422.0,0.0,C1315078366,0.0,0.0,1,0
6702,6,TRANSFER,17320.91,C788790720,17320.91,0.0,C1589547066,0.0,0.0,1,0
6706,6,TRANSFER,17246.0,C1034673425,17246.0,0.0,C1379589736,0.0,101717.84,1,0
6897,6,TRANSFER,10565.0,C777407608,10565.0,0.0,C1790657739,0.0,0.0,1,0
7002,6,TRANSFER,10224.0,C365589282,10224.0,0.0,C908043384,0.0,0.0,1,0
7029,6,TRANSFER,85354.69,C558400671,85354.69,0.0,C527482085,0.0,0.0,1,0
7154,6,TRANSFER,13704.0,C1735554279,13704.0,0.0,C12793273,0.0,1658746.09,1,0
9284,7,TRANSFER,262434.54,C2101686389,262434.54,0.0,C612008977,0.0,0.0,1,0
10218,7,TRANSFER,21729.0,C1686905633,21729.0,0.0,C824421402,0.0,0.0,1,0
10395,7,TRANSFER,5460002.91,C666654362,5460002.91,0.0,C1726301214,0.0,0.0,1,0
12179,7,TRANSFER,164.0,C1455969984,164.0,0.0,C2119910556,0.0,0.0,1,0
12214,7,TRANSFER,21571.0,C786114805,21571.0,0.0,C1666314150,0.0,0.0,1,0
12467,7,TRANSFER,441445.58,C1023505879,441445.58,0.0,C847761155,0.0,0.0,1,0
18771,8,TRANSFER,222.0,C1961506277,222.0,0.0,C378841819,0.0,267095.19,1,0
24966,8,TRANSFER,1996.17,C1198040187,1996.17,0.0,C1828047633,0.0,0.0,1,0
25875,8,TRANSFER,1078013.76,C1026280121,0.0,0.0,C277510102,0.0,970749.68,1,0
33472,8,TRANSFER,89631.24,C74534388,89631.24,0.0,C1748042844,0.0,0.0,1,0
33913,8,TRANSFER,29707.86,C1825456600,29707.86,0.0,C570409417,0.0,0.0,1,0
34168,8,TRANSFER,43092.0,C1683174795,43092.0,0.0,C427998326,0.0,0.0,1,0
36026,9,TRANSFER,556218.01,C1769581889,556218.01,0.0,C217441120,0.0,0.0,1,0
36691,9,TRANSFER,11308.0,C299933576,11308.0,0.0,C1060999444,0.0,0.0,1,0
47144,9,TRANSFER,350705.74,C1452168793,350705.74,0.0,C399194578,0.0,1184633.07,1,0
49825,9,TRANSFER,2539898.07,C394488466,2539898.07,0.0,C575638324,0.0,261290.69,1,0
49885,9,TRANSFER,361559.69,C1287719145,361559.69,0.0,C352239275,0.0,141302.12,1,0
